id	NoAdaptersSRR925687_NoPcr__PE	NoAdaptersSRR925688_NoPcr__PE	NoAdaptersSRR925697_NoPcr__PE	NoAdaptersSRR925703_NoPcr__PE	NoAdaptersSRR925714_NoPcr__PE	NoAdaptersSRR925716_NoPcr__PE	NoAdaptersSRR925720_NoPcr__PE	NoAdaptersSRR925721_NoPcr__PE	NoAdaptersSRR925726_NoPcr__PE	NoAdaptersSRR934634_NoPcr__PE	NoAdaptersSRR934636_NoPcr__PE
ENSG00000000003.13	9.14	10.12	13.89	11.67	20.89	5.99	8.11	9.28	12.07	1.54	1.73
ENSG00000000419.11	63.57	36.11	95.07	69.44	51.78	26.26	47.17	26.72	34.78	48.23	29.81
ENSG00000000457.12	2.15	3.27	2.11	4.62	2.90	2.04	3.83	2.68	3.96	2.36	1.03
ENSG00000000460.15	8.08	3.81	10.82	12.39	14.07	9.63	15.14	4.42	12.33	11.66	1.30
ENSG00000000971.14	3.15	0.39	13.77	12.78	4.89	12.79	3.10	1.86	5.90	0.00	0.00
ENSG00000001036.12	14.29	27.91	86.99	45.57	87.34	53.78	26.31	55.50	66.13	36.29	16.33
ENSG00000001084.9	20.59	61.39	11.22	54.50	23.47	15.54	107.33	73.69	16.06	21.28	14.32
ENSG00000001167.13	12.23	13.68	34.71	47.36	13.08	23.19	18.47	20.95	15.49	17.00	42.35
ENSG00000001460.16	10.36	4.67	1.86	6.40	3.32	6.17	4.82	11.91	8.53	2.86	17.37
ENSG00000001461.15	43.61	53.86	1.62	9.08	3.33	36.66	40.24	39.42	26.13	42.74	13.93
ENSG00000001497.15	36.55	17.77	69.54	31.19	81.98	28.66	37.36	26.13	42.61	47.38	29.47
ENSG00000001561.6	0.00	0.05	2.37	0.24	1.30	0.82	0.05	0.15	2.19	0.00	0.55
ENSG00000001617.10	63.13	153.61	8.71	14.16	2.54	7.63	32.87	33.85	1.15	35.94	2.24
ENSG00000001629.8	9.82	10.85	8.78	22.98	20.90	12.66	10.06	8.94	14.71	7.97	3.55
ENSG00000001630.14	72.52	36.19	13.46	54.33	42.55	32.07	57.65	23.33	40.19	57.80	15.46
ENSG00000001631.13	16.42	10.08	7.70	39.46	19.94	12.91	16.84	6.06	12.05	8.06	6.30
ENSG00000002016.15	10.73	6.26	4.89	10.95	12.00	7.37	7.54	8.56	8.84	8.91	16.74
ENSG00000002079.11	4.38	0.52	0.00	0.43	0.01	0.02	0.06	2.65	0.00	1.53	0.03
ENSG00000002330.12	89.83	174.43	59.43	40.04	15.63	76.00	89.14	102.07	108.60	67.22	80.60
ENSG00000002549.11	35.99	22.22	47.29	36.97	35.14	39.29	37.59	48.22	63.95	29.91	16.22
ENSG00000002586.16	137.23	93.22	262.08	193.61	51.58	120.00	166.46	231.31	160.66	115.84	150.65
ENSG00000002587.8	4.04	0.25	0.03	0.04	0.00	0.60	0.50	10.25	2.89	0.70	0.00
ENSG00000002726.18	0.16	4.29	0.00	0.09	0.00	0.03	0.48	0.32	0.35	2.35	0.00
ENSG00000002746.13	0.47	0.00	0.01	0.08	8.23	3.84	0.91	0.69	4.03	3.27	3.48
ENSG00000002822.14	18.16	6.76	31.03	17.36	20.42	136.69	13.05	21.13	26.27	32.87	108.97
ENSG00000002834.16	119.54	79.88	146.65	42.97	124.45	91.34	60.29	124.05	122.36	84.26	24.24
ENSG00000002919.13	13.69	8.08	8.87	6.45	18.97	11.64	10.22	11.75	17.08	15.56	11.94
ENSG00000002933.6	0.00	0.21	0.00	0.33	0.00	0.03	0.00	1.09	1.22	0.00	0.00
ENSG00000003056.6	112.30	56.29	81.16	152.47	96.47	73.90	59.56	71.52	77.81	130.55	83.31
ENSG00000003096.12	6.75	1.72	0.00	2.34	0.10	1.23	1.97	0.48	0.03	1.34	0.22
ENSG00000003137.7	16.92	0.52	0.21	1.68	2.48	1.72	4.30	7.85	13.63	7.51	0.76
ENSG00000003147.16	2.34	6.51	0.93	0.44	0.37	0.03	6.36	8.46	6.33	6.87	11.33
ENSG00000003249.12	2.03	8.95	13.00	3.16	1.04	4.31	2.16	21.73	18.70	4.32	0.98
ENSG00000003393.13	8.16	2.24	8.76	8.55	18.82	10.24	7.25	5.68	9.88	7.93	17.04
ENSG00000003400.13	0.86	0.31	0.03	1.05	0.07	0.42	0.11	1.92	1.93	0.30	0.07
ENSG00000003402.18	14.92	13.52	21.57	15.00	18.83	12.28	18.72	35.10	21.55	10.70	13.72
ENSG00000003436.13	8.14	0.41	93.47	8.35	13.75	43.02	34.62	63.15	54.22	5.05	2.94
ENSG00000003509.14	6.40	5.91	8.90	8.25	10.85	5.86	9.33	8.81	9.22	7.22	5.16
ENSG00000003756.15	50.65	58.76	55.84	109.60	64.97	51.85	45.50	34.84	46.71	24.24	31.23
ENSG00000003989.15	0.53	0.10	0.00	1.16	0.27	11.22	50.07	2.46	3.93	0.73	0.28
ENSG00000004059.9	242.50	198.39	124.84	238.68	73.51	107.20	193.79	178.77	111.66	327.60	187.10
ENSG00000004139.12	1.55	0.51	25.02	8.82	18.17	33.11	0.19	0.53	0.12	0.57	16.16
ENSG00000004142.10	107.87	74.38	79.58	49.79	114.05	83.92	95.30	131.11	90.15	139.48	77.10
ENSG00000004399.11	8.74	1.54	5.31	18.21	38.83	27.78	2.89	4.60	18.20	13.41	32.65
ENSG00000004455.15	192.24	84.47	193.97	150.41	256.72	136.47	132.19	108.60	153.95	262.99	199.91
ENSG00000004478.7	98.74	39.11	47.85	83.81	113.83	26.39	64.17	58.64	62.17	119.60	49.41
ENSG00000004487.14	80.82	41.89	79.15	87.35	60.67	45.05	63.76	45.43	71.13	139.43	51.74
ENSG00000004534.13	13.99	13.34	34.19	30.48	18.38	15.34	19.20	17.77	23.82	9.33	10.12
ENSG00000004660.13	3.40	0.47	3.55	2.56	2.42	1.07	5.08	3.51	2.79	7.31	2.11
ENSG00000004700.14	27.68	8.48	26.81	65.71	34.08	17.87	26.67	12.61	25.04	19.57	6.43
ENSG00000004766.14	3.63	3.95	3.69	13.34	6.54	3.72	5.53	3.08	6.73	3.92	0.28
ENSG00000004776.10	0.14	0.05	0.26	0.51	0.66	8.08	0.06	0.00	0.17	0.00	0.73
ENSG00000004777.17	11.66	11.10	16.70	16.21	16.81	19.01	3.58	2.45	13.14	1.35	15.69
ENSG00000004779.8	126.72	99.51	152.22	112.21	88.64	72.41	141.43	166.63	132.44	125.02	120.84
ENSG00000004799.7	0.12	1.71	0.00	0.04	0.05	0.03	10.56	15.24	0.39	1.23	0.00
ENSG00000004838.12	1.30	0.31	0.98	3.45	1.77	3.62	0.36	0.59	0.76	0.42	8.98
ENSG00000004864.12	15.09	5.21	15.51	26.14	21.25	10.02	25.34	12.78	28.79	36.27	11.03
ENSG00000004866.17	15.58	6.83	15.38	25.45	6.57	10.35	12.94	7.46	16.21	7.91	3.18
ENSG00000004897.10	40.79	28.54	26.93	52.84	94.28	38.07	40.34	33.65	72.05	16.81	16.26
ENSG00000004961.13	30.66	24.45	60.26	32.53	26.81	14.00	30.90	37.34	44.69	22.44	17.96
ENSG00000004975.10	30.77	22.00	45.76	28.72	24.47	53.93	18.87	20.67	45.38	35.38	90.31
ENSG00000005001.8	2.62	8.70	0.00	0.00	1.02	0.00	0.00	13.99	0.09	1.96	0.00
ENSG00000005007.11	62.65	38.55	36.43	30.82	27.31	65.85	45.33	33.06	54.49	49.92	60.58
ENSG00000005020.11	12.56	8.67	3.38	11.65	5.66	7.78	7.82	12.17	6.06	11.24	22.32
ENSG00000005022.5	649.63	547.51	1092.35	776.53	562.68	357.30	579.70	345.46	747.42	472.06	385.76
ENSG00000005059.14	8.53	1.71	17.19	7.82	8.35	1.43	8.55	12.25	14.24	2.59	5.94
ENSG00000005073.5	0.99	0.00	1.35	0.57	1.54	0.77	0.36	0.36	0.00	4.68	0.16
ENSG00000005075.14	94.47	57.53	59.80	64.25	34.29	71.89	98.76	92.76	110.99	195.59	80.56
ENSG00000005100.11	17.85	10.99	37.99	15.22	16.84	28.52	19.04	12.40	22.58	31.65	24.03
ENSG00000005108.14	0.01	0.00	0.00	0.16	1.49	0.03	0.01	0.01	0.00	0.00	0.08
ENSG00000005156.10	10.08	8.71	14.51	12.14	27.56	14.52	17.26	13.35	13.40	23.90	21.29
ENSG00000005175.8	9.85	3.79	10.41	19.07	23.80	8.38	9.13	4.11	16.62	2.97	1.11
ENSG00000005187.10	0.10	1.87	0.00	0.41	1.52	0.00	0.29	0.43	0.18	0.00	0.44
ENSG00000005189.18	4.20	2.80	7.76	59.22	13.79	8.08	2.43	2.62	5.40	0.87	5.78
ENSG00000005194.13	44.11	28.31	52.75	34.05	47.64	32.52	52.77	41.99	75.94	44.19	35.82
ENSG00000005206.15	39.51	36.15	32.98	15.64	23.81	55.87	42.24	32.86	38.42	33.53	102.44
ENSG00000005238.18	7.99	16.79	10.50	5.28	5.41	7.93	9.02	49.77	9.03	29.49	22.66
ENSG00000005243.8	19.26	0.00	0.00	0.59	20.57	18.98	0.43	5.85	0.48	10.59	11.71
ENSG00000005249.11	0.03	0.02	0.36	0.95	1.84	0.41	0.06	0.37	1.83	0.00	1.68
ENSG00000005302.16	12.39	11.49	20.44	13.27	11.57	5.96	10.76	14.32	15.75	4.45	10.21
ENSG00000005339.11	12.03	9.58	14.49	21.07	20.15	27.91	10.74	10.08	15.38	11.33	48.09
ENSG00000005436.12	5.55	2.87	15.32	5.82	12.76	6.62	8.46	5.15	7.17	6.18	5.85
ENSG00000005448.15	90.64	81.04	27.56	13.92	21.12	41.83	14.89	20.75	62.40	23.30	37.36
ENSG00000005469.10	9.00	15.11	2.48	9.72	5.14	4.38	9.77	3.58	4.37	4.62	0.80
ENSG00000005483.18	11.04	13.66	14.77	84.11	17.20	33.80	11.57	10.60	9.10	15.24	28.03
ENSG00000005486.15	44.34	38.30	27.23	47.32	33.81	57.64	37.77	43.91	46.70	59.50	33.98
ENSG00000005700.13	4.04	4.61	8.48	18.94	13.58	5.32	8.48	7.20	7.67	1.18	1.96
ENSG00000005801.15	11.54	13.54	6.20	7.86	12.29	3.39	12.00	9.45	13.29	17.71	8.02
ENSG00000005810.16	9.01	10.62	8.71	18.88	7.04	14.14	14.58	6.16	7.09	18.43	15.26
ENSG00000005812.9	7.10	7.05	12.30	12.28	4.70	4.59	14.44	7.02	8.41	4.37	6.32
ENSG00000005882.10	8.39	66.93	18.37	19.02	27.88	17.54	12.54	8.01	39.53	20.04	1.38
ENSG00000005884.16	410.96	219.05	181.43	77.25	360.41	117.58	256.24	555.31	161.95	388.13	54.45
ENSG00000005889.14	9.61	5.30	18.72	10.20	9.55	6.32	11.85	8.19	8.18	3.29	4.71
ENSG00000005893.14	65.68	77.93	152.26	123.23	79.65	30.91	45.12	61.73	48.29	10.40	19.67
ENSG00000005961.16	0.61	0.18	0.02	0.49	2.14	0.31	0.11	0.09	0.10	0.06	3.60
ENSG00000006007.10	41.95	34.54	32.16	128.65	33.03	14.27	42.51	43.64	35.52	16.26	17.79
ENSG00000006015.16	52.34	39.48	38.05	23.34	4.42	63.80	34.43	62.11	41.80	58.29	105.62
ENSG00000006016.9	4.82	4.10	4.38	3.69	3.52	9.24	9.70	3.84	3.78	4.23	5.15
ENSG00000006025.10	9.01	12.46	2.83	4.50	7.16	4.53	2.80	10.27	9.39	0.76	1.51
ENSG00000006042.10	55.29	12.34	0.07	0.81	11.14	1.63	9.80	51.99	0.05	5.05	0.68
ENSG00000006047.11	0.07	0.30	0.00	3.20	0.44	0.00	0.05	1.05	0.38	0.04	53.65
ENSG00000006062.12	17.76	5.24	20.66	4.49	25.72	12.56	5.03	3.96	9.12	8.18	21.52
ENSG00000006071.10	0.93	0.18	0.00	0.13	2.87	0.62	0.00	0.00	0.04	0.00	0.26
ENSG00000006118.13	13.39	175.07	27.48	21.76	26.44	24.78	22.63	117.41	38.92	10.78	35.55
ENSG00000006125.15	96.19	91.00	73.02	87.70	183.30	44.33	96.87	61.87	165.06	72.09	38.44
ENSG00000006194.9	12.62	14.41	20.18	15.76	22.88	13.53	16.72	18.20	18.98	20.09	40.95
ENSG00000006210.6	0.00	0.00	0.00	23.73	8.85	0.05	0.00	0.79	0.00	0.03	0.00
ENSG00000006282.18	51.41	18.37	36.80	27.07	38.66	43.85	24.02	42.80	71.68	15.66	105.22
ENSG00000006283.16	0.52	0.00	0.50	0.83	1.34	0.23	0.00	0.00	0.02	0.00	0.27
ENSG00000006327.12	194.53	68.97	160.78	61.29	162.48	432.56	149.77	320.69	196.00	206.24	395.80
ENSG00000006377.10	0.13	1.13	0.00	5.97	0.74	0.46	0.00	0.00	0.00	0.00	6.26
ENSG00000006432.14	7.76	1.95	1.51	1.46	1.67	1.48	4.34	4.49	2.81	8.31	2.83
ENSG00000006451.6	17.37	15.00	19.98	23.70	19.67	17.56	19.24	39.44	21.70	11.57	10.49
ENSG00000006453.12	25.39	17.50	8.38	19.32	9.06	12.16	23.61	29.07	23.05	30.29	1.85
ENSG00000006459.9	0.13	0.84	0.37	2.37	1.62	0.39	0.83	0.58	0.17	1.44	1.91
ENSG00000006468.12	4.92	0.00	0.46	3.13	9.13	11.74	2.69	4.93	19.24	2.11	18.70
ENSG00000006530.14	23.01	11.93	29.12	29.44	21.71	17.83	24.44	16.87	24.88	29.17	13.74
ENSG00000006534.14	54.20	59.08	6.72	41.63	18.61	6.85	26.46	50.25	6.80	9.93	27.71
ENSG00000006555.9	1.62	7.18	0.00	0.12	0.23	0.06	3.27	7.20	0.00	2.20	0.00
ENSG00000006576.15	7.30	7.16	13.73	43.17	22.94	13.87	9.84	2.51	15.46	6.74	1.73
ENSG00000006606.7	0.00	0.22	0.00	0.57	0.00	1.38	0.00	0.59	0.93	0.00	0.00
ENSG00000006607.12	17.43	11.33	14.06	26.94	26.71	11.30	24.53	12.57	14.69	12.06	19.11
ENSG00000006625.16	55.50	48.41	54.40	44.22	58.06	47.47	56.55	24.16	43.84	88.45	33.15
ENSG00000006634.6	14.06	7.39	18.46	50.86	29.11	13.77	13.34	5.14	23.33	17.86	9.16
ENSG00000006638.10	0.16	0.13	2.19	1.80	1.90	6.42	0.09	0.32	2.56	0.79	0.82
ENSG00000006652.12	13.14	16.48	38.12	59.66	30.35	27.76	19.18	26.04	23.71	13.55	22.65
ENSG00000006695.9	10.74	8.89	20.18	8.95	7.88	11.91	15.88	11.28	10.05	22.55	5.33
ENSG00000006704.9	12.40	19.94	8.67	13.58	8.16	15.86	16.37	22.05	20.63	24.26	40.23
ENSG00000006712.13	43.12	25.99	43.35	35.56	57.22	74.02	34.79	35.06	57.48	46.02	60.27
ENSG00000006715.14	17.13	16.66	16.29	21.84	19.93	11.01	23.95	8.83	9.72	5.57	11.02
ENSG00000006740.15	0.04	0.00	1.31	0.46	0.29	5.82	0.05	0.02	0.02	0.40	1.59
ENSG00000006744.17	67.74	43.45	100.28	55.04	38.97	128.18	72.00	72.91	91.48	142.22	93.03
ENSG00000006747.13	0.01	0.14	0.02	0.22	0.23	0.06	0.17	0.15	2.17	0.00	0.03
ENSG00000006756.14	15.23	0.00	0.00	0.21	5.38	2.34	7.56	9.12	4.71	5.01	10.26
ENSG00000006757.10	53.13	28.95	7.70	14.03	5.25	6.31	26.57	28.06	14.73	36.87	0.00
ENSG00000006831.9	37.94	21.44	21.99	33.27	35.47	16.15	26.69	22.50	29.72	22.88	7.08
ENSG00000007038.9	14.43	0.00	0.00	0.11	0.00	82.53	17.16	44.94	0.00	0.00	0.16
ENSG00000007047.13	24.28	12.86	17.21	15.26	36.03	16.55	18.99	19.84	9.90	14.25	33.77
ENSG00000007080.9	118.80	87.39	115.39	79.82	40.33	218.62	131.24	139.28	141.97	186.03	338.51
ENSG00000007168.11	50.53	50.11	101.23	108.12	65.09	70.68	60.57	78.85	62.99	53.16	15.49
ENSG00000007171.15	0.00	0.00	0.00	0.44	1.39	0.00	0.00	0.00	0.00	0.00	0.16
ENSG00000007202.13	34.57	30.38	33.38	35.93	79.06	40.16	44.75	37.17	77.54	76.86	70.38
ENSG00000007255.9	17.20	35.00	9.67	12.38	12.85	7.92	5.89	11.67	5.55	15.40	47.41
ENSG00000007264.12	0.00	0.00	0.71	1.34	1.40	0.00	0.00	0.00	0.00	0.44	4.20
ENSG00000007341.17	9.25	8.71	10.84	15.88	16.50	10.11	7.02	8.83	26.18	4.55	8.68
ENSG00000007372.19	0.06	0.29	10.44	5.51	16.00	0.12	0.19	0.04	0.26	0.00	12.72
ENSG00000007376.6	81.54	44.86	47.98	10.81	17.10	31.89	58.23	57.19	51.74	54.00	24.17
ENSG00000007384.14	33.07	35.52	17.14	14.82	19.27	27.69	16.52	63.42	21.70	5.26	17.98
ENSG00000007392.15	26.14	16.18	29.36	17.95	18.80	21.01	23.58	23.18	46.90	22.85	14.67
ENSG00000007516.12	0.88	0.95	0.16	0.19	0.08	0.27	0.23	1.20	2.94	0.00	0.78
ENSG00000007520.3	65.43	41.28	39.53	29.86	30.36	99.36	56.37	65.40	38.88	82.69	84.14
ENSG00000007541.13	37.13	20.45	16.53	12.89	21.50	41.54	19.73	31.65	34.12	12.50	20.48
ENSG00000007545.14	7.80	7.37	6.07	7.94	9.59	7.34	8.49	4.80	6.64	9.03	21.34
ENSG00000007866.17	12.61	32.61	6.87	8.99	6.47	14.78	9.05	31.10	14.79	13.21	15.24
ENSG00000007923.14	49.00	28.07	57.53	29.40	35.36	44.50	41.95	18.53	37.15	49.16	52.44
ENSG00000007933.11	0.00	0.00	0.00	0.20	0.29	1.99	0.00	0.00	0.00	0.00	0.00
ENSG00000007944.13	0.86	5.92	0.00	3.14	3.64	3.05	0.45	0.64	9.12	0.65	1.23
ENSG00000007968.6	5.76	3.15	5.25	10.65	5.02	10.79	2.75	1.30	3.32	3.18	2.69
ENSG00000008018.8	122.84	173.80	144.39	169.27	191.81	134.03	194.42	201.92	266.18	202.73	159.70
ENSG00000008056.11	0.39	0.00	0.41	0.71	0.02	0.00	0.05	1.14	0.07	0.06	0.75
ENSG00000008083.12	4.30	6.02	8.75	6.68	7.94	6.95	6.40	18.68	6.02	9.05	15.36
ENSG00000008086.9	0.68	1.94	0.80	3.89	3.68	1.50	0.83	0.90	0.79	0.08	0.69
ENSG00000008128.21	34.57	23.74	39.63	14.04	22.92	35.85	46.13	20.37	37.02	18.61	85.85
ENSG00000008130.14	37.75	45.80	58.25	21.20	37.65	71.83	57.93	30.07	41.61	46.03	111.40
ENSG00000008197.4	0.00	0.00	0.00	0.00	0.00	1.69	0.00	0.00	0.00	0.00	0.00
ENSG00000008256.14	20.46	14.29	11.80	7.92	19.70	47.02	16.10	11.42	17.49	18.81	47.88
ENSG00000008277.13	0.20	0.06	0.56	0.63	0.26	0.11	0.05	0.03	3.08	0.02	1.39
ENSG00000008282.6	87.88	38.13	29.85	106.18	27.81	33.29	74.23	52.88	62.68	30.50	9.57
ENSG00000008283.14	67.05	39.76	15.11	9.93	25.17	38.21	30.24	50.97	46.05	33.80	14.44
ENSG00000008294.19	14.53	17.16	24.57	48.65	67.32	28.95	18.73	24.11	27.64	14.01	62.68
ENSG00000008300.13	6.92	3.17	6.08	4.60	11.02	7.24	2.67	6.26	2.79	2.31	15.31
ENSG00000008311.13	0.52	0.93	0.08	0.53	0.12	1.70	3.13	0.70	12.80	0.09	0.44
ENSG00000008323.14	1.34	4.12	0.04	0.35	0.25	0.23	0.22	2.77	0.00	1.60	0.24
ENSG00000008324.9	22.03	18.45	29.42	25.10	15.63	14.24	19.25	11.24	23.61	20.88	15.29
ENSG00000008382.14	8.75	8.14	8.25	7.89	8.16	13.72	6.83	11.59	16.96	12.82	26.87
ENSG00000008394.11	505.99	494.68	0.00	680.80	250.20	140.80	409.37	474.54	204.97	72.19	3.77
ENSG00000008405.10	3.86	1.79	6.28	5.19	7.56	5.42	3.71	7.12	19.12	5.31	15.01
ENSG00000008441.15	33.89	13.98	103.86	119.28	56.81	122.60	38.85	21.92	12.99	49.05	190.65
ENSG00000008513.13	10.02	12.10	5.86	21.06	0.71	33.78	7.09	35.59	6.48	14.51	11.57
ENSG00000008516.15	0.76	1.31	0.33	0.32	0.52	0.41	0.11	1.04	0.13	0.73	2.58
ENSG00000008517.15	0.32	4.37	1.27	2.31	2.83	7.80	10.35	58.00	18.17	11.84	2.71
ENSG00000008710.16	58.86	33.52	70.93	53.86	31.00	152.57	57.10	55.88	57.70	33.46	418.70
ENSG00000008735.13	0.92	0.06	0.53	0.66	4.86	0.34	0.42	0.49	0.25	0.80	1.64
ENSG00000008838.16	86.04	48.28	36.60	32.63	71.44	47.72	115.41	67.14	74.21	76.46	69.16
ENSG00000008853.15	36.54	18.51	22.69	6.07	7.11	18.96	35.27	7.33	9.91	22.99	16.43
ENSG00000008869.10	3.38	6.23	3.61	3.42	2.76	4.68	5.04	4.52	4.06	2.41	1.90
ENSG00000008952.15	35.24	25.27	37.85	58.22	115.69	34.16	33.85	24.05	40.69	13.22	3.79
ENSG00000008988.8	1668.91	1581.72	1557.97	1251.73	780.32	1563.27	1600.37	1314.73	897.16	2882.56	1533.07
ENSG00000009307.14	147.87	176.08	97.16	233.16	765.55	152.95	147.48	129.50	278.29	137.54	111.78
ENSG00000009335.16	33.28	27.57	39.02	86.88	49.19	38.58	48.46	32.65	53.76	58.24	31.34
ENSG00000009413.14	2.75	5.00	5.84	29.93	13.27	12.27	6.06	1.60	4.55	2.24	1.16
ENSG00000009694.12	0.00	0.12	0.00	0.02	0.04	0.62	0.11	0.00	1.10	0.04	0.12
ENSG00000009709.10	0.00	0.00	0.00	3.54	0.00	0.03	0.00	0.00	0.00	0.00	0.05
ENSG00000009724.15	1.11	0.58	0.39	0.78	0.55	0.92	0.91	0.35	0.68	0.25	3.48
ENSG00000009780.14	5.51	3.56	4.60	6.99	2.71	7.32	4.83	3.02	4.73	0.71	5.00
ENSG00000009790.13	0.07	2.63	0.00	0.23	0.06	0.02	0.68	0.03	0.02	0.68	1.44
ENSG00000009830.10	15.60	12.73	8.35	22.97	42.25	15.26	15.40	11.78	13.79	16.93	27.19
ENSG00000009844.14	16.38	22.02	57.69	32.90	55.62	25.64	24.99	29.33	32.69	11.24	8.59
ENSG00000009950.14	5.52	0.54	0.25	1.57	0.68	1.35	0.29	0.33	0.51	1.26	0.80
ENSG00000009954.9	25.08	12.77	27.08	36.39	42.89	38.85	28.09	11.92	45.15	24.34	23.40
ENSG00000010017.12	4.46	11.94	31.76	27.36	32.88	17.25	13.76	18.98	28.91	3.95	22.54
ENSG00000010030.12	0.67	1.34	0.05	0.00	0.11	0.00	0.29	0.27	0.00	0.00	0.08
ENSG00000010072.14	14.95	13.21	8.61	6.81	24.89	6.56	18.35	7.02	12.52	22.27	8.16
ENSG00000010165.18	34.48	22.01	42.96	41.57	31.83	27.41	38.68	27.67	38.40	54.89	29.48
ENSG00000010219.12	61.27	26.11	29.08	3.41	33.34	13.37	36.51	35.83	20.06	30.75	32.33
ENSG00000010244.15	124.88	88.90	122.28	114.92	162.69	79.76	124.53	117.57	92.21	103.24	50.68
ENSG00000010256.9	367.20	449.71	214.23	411.74	256.26	237.31	415.80	352.35	247.23	404.82	236.31
ENSG00000010270.12	19.71	10.42	28.54	30.52	33.89	21.05	24.44	25.07	34.38	16.87	20.68
ENSG00000010278.10	335.77	339.93	6.61	14.58	28.65	17.78	143.84	203.70	186.44	348.42	101.54
ENSG00000010292.11	96.24	43.28	35.75	184.71	91.99	66.19	60.83	14.71	130.22	71.31	62.33
ENSG00000010295.18	0.14	0.13	0.07	0.45	0.16	21.16	0.18	0.11	6.00	0.24	0.84
ENSG00000010310.7	0.24	0.37	0.08	0.09	0.49	0.22	0.04	2.16	0.26	0.52	9.39
ENSG00000010318.18	4.49	4.89	5.60	27.92	9.93	5.94	5.29	2.95	15.98	6.66	18.11
ENSG00000010319.5	0.01	0.03	0.00	0.15	0.00	0.21	0.00	0.13	1.77	0.00	0.04
ENSG00000010322.14	36.91	44.98	34.30	31.19	26.67	22.03	19.68	17.86	22.59	16.05	49.03
ENSG00000010361.12	6.68	10.97	11.22	0.14	2.08	17.07	8.68	8.98	0.76	8.21	30.82
ENSG00000010379.14	0.00	0.00	0.00	0.14	0.11	0.48	0.00	0.00	1.08	0.11	0.30
ENSG00000010404.16	27.85	29.99	38.93	24.15	21.94	33.01	15.59	33.85	130.78	13.36	84.69
ENSG00000010438.15	157.25	6.71	0.00	0.62	0.00	0.00	3.22	199.31	37.62	18.07	0.00
ENSG00000010539.10	4.37	2.56	7.00	5.54	7.28	3.29	3.34	4.65	4.33	2.29	4.49
ENSG00000010626.13	6.33	1.30	1.95	8.18	2.38	3.57	1.39	3.78	2.16	5.16	7.01
ENSG00000010704.17	5.20	5.79	2.01	7.20	5.71	2.53	3.96	4.39	5.12	7.19	7.79
ENSG00000010803.15	18.57	14.30	22.89	28.11	26.24	24.74	19.85	14.70	14.98	23.67	54.76
ENSG00000010810.16	17.10	19.55	6.74	18.36	13.49	58.97	5.40	30.42	29.19	1.03	39.88
ENSG00000010818.7	2.83	3.26	3.48	6.89	2.82	7.82	7.72	5.28	3.65	2.41	3.17
ENSG00000011007.11	30.09	19.78	38.80	36.44	36.62	36.79	30.40	31.15	40.18	33.62	28.78
ENSG00000011009.9	97.57	95.21	52.43	20.69	22.39	80.63	80.80	152.99	65.86	100.45	63.84
ENSG00000011021.20	9.25	5.18	7.34	7.99	4.79	10.35	4.61	2.51	5.19	3.72	12.60
ENSG00000011028.12	17.83	22.23	57.32	8.73	33.67	67.02	4.89	3.99	18.03	3.77	106.38
ENSG00000011052.20	20.58	12.47	12.06	6.23	18.07	33.71	18.91	23.32	22.03	16.01	21.05
ENSG00000011105.10	6.70	5.91	20.39	27.83	39.70	10.76	9.09	15.59	4.49	13.32	6.89
ENSG00000011114.13	8.12	7.19	6.72	19.35	10.67	7.96	8.09	7.45	6.65	5.49	10.16
ENSG00000011132.10	6.93	11.58	9.51	3.63	6.30	16.06	13.38	16.74	13.00	12.86	56.28
ENSG00000011143.15	16.18	13.41	7.03	9.53	18.19	7.21	9.51	10.37	8.67	9.16	27.46
ENSG00000011198.6	13.93	38.50	21.50	19.03	7.62	14.48	19.14	18.83	16.04	4.13	1.21
ENSG00000011201.9	0.09	0.64	13.83	6.08	0.00	2.94	0.04	0.00	5.21	0.00	0.00
ENSG00000011243.16	40.84	40.85	31.77	60.46	54.03	37.17	50.60	48.42	42.74	45.20	75.41
ENSG00000011258.14	2.12	3.45	2.83	3.70	5.72	1.28	1.86	1.04	2.06	0.25	0.50
ENSG00000011260.12	22.43	10.61	27.24	25.29	54.42	17.61	24.46	18.88	38.00	20.25	20.86
ENSG00000011275.17	9.93	6.09	26.15	20.43	20.37	23.88	13.62	12.93	16.91	13.84	33.90
ENSG00000011295.14	19.49	42.72	32.00	38.28	14.40	14.70	11.71	13.18	25.15	8.45	14.19
ENSG00000011304.15	429.62	219.68	407.11	198.41	302.54	561.05	373.93	261.85	396.44	437.43	698.06
ENSG00000011332.18	6.76	0.72	10.92	4.79	4.79	30.47	2.92	0.87	8.57	1.19	4.66
ENSG00000011347.8	3.57	5.79	0.90	29.14	2.16	1.50	0.99	3.03	0.83	4.87	6.04
ENSG00000011376.8	17.61	5.94	14.26	16.64	12.13	10.15	12.56	10.37	13.78	9.84	6.14
ENSG00000011405.12	4.93	5.99	7.69	7.99	20.06	4.73	8.78	3.91	4.31	2.35	1.66
ENSG00000011422.10	20.98	22.42	61.09	8.98	23.55	107.08	26.59	158.32	120.31	47.06	83.42
ENSG00000011426.9	71.92	36.95	103.01	115.75	119.55	118.65	89.81	21.82	152.79	55.33	37.00
ENSG00000011451.16	28.16	19.76	37.98	19.15	17.23	43.96	26.60	27.33	28.41	27.57	49.34
